"Geography","Total:—Household received Food Stamps/SNAP in the past 12 months:—At least one person in household 60 years or over—Estimate","MoE"
"Census Tract 1011; St. Louis city; Missouri","71","± 39"
"Census Tract 1012; St. Louis city; Missouri","40","± 32"
"Census Tract 1013; St. Louis city; Missouri","68","± 60"
"Census Tract 1014; St. Louis city; Missouri","43","± 37"
"Census Tract 1015; St. Louis city; Missouri","131","± 84"
"Census Tract 1018; St. Louis city; Missouri","129","± 111"
"Census Tract 1021; St. Louis city; Missouri","33","± 32"
"Census Tract 1022; St. Louis city; Missouri","16","± 25"
"Census Tract 1023; St. Louis city; Missouri","92","± 113"
"Census Tract 1024; St. Louis city; Missouri","16","± 21"
"Census Tract 1025; St. Louis city; Missouri","18","± 30"
"Census Tract 1031; St. Louis city; Missouri","26","± 30"
"Census Tract 1034; St. Louis city; Missouri","26","± 31"
"Census Tract 1036; St. Louis city; Missouri","4","± 6"
"Census Tract 1037; St. Louis city; Missouri","33","± 44"
"Census Tract 1038; St. Louis city; Missouri","66","± 47"
"Census Tract 1042; St. Louis city; Missouri","30","± 31"
"Census Tract 1045; St. Louis city; Missouri","62","± 47"
"Census Tract 1051.98; St. Louis city; Missouri","0","± 12"
"Census Tract 1052; St. Louis city; Missouri","94","± 55"
"Census Tract 1053; St. Louis city; Missouri","30","± 35"
"Census Tract 1054; St. Louis city; Missouri","134","± 77"
"Census Tract 1055; St. Louis city; Missouri","151","± 110"
"Census Tract 1061; St. Louis city; Missouri","106","± 87"
"Census Tract 1062; St. Louis city; Missouri","26","± 22"
"Census Tract 1063; St. Louis city; Missouri","91","± 48"
"Census Tract 1064; St. Louis city; Missouri","126","± 75"
"Census Tract 1065; St. Louis city; Missouri","113","± 65"
"Census Tract 1066; St. Louis city; Missouri","31","± 38"
"Census Tract 1067; St. Louis city; Missouri","142","± 82"
"Census Tract 1072; St. Louis city; Missouri","95","± 54"
"Census Tract 1073; St. Louis city; Missouri","49","± 38"
"Census Tract 1074; St. Louis city; Missouri","92","± 48"
"Census Tract 1075; St. Louis city; Missouri","209","± 125"
"Census Tract 1076; St. Louis city; Missouri","75","± 35"
"Census Tract 1081; St. Louis city; Missouri","122","± 64"
"Census Tract 1082; St. Louis city; Missouri","170","± 100"
"Census Tract 1083; St. Louis city; Missouri","74","± 73"
"Census Tract 1096; St. Louis city; Missouri","158","± 90"
"Census Tract 1097; St. Louis city; Missouri","105","± 57"
"Census Tract 1101; St. Louis city; Missouri","130","± 76"
"Census Tract 1102; St. Louis city; Missouri","111","± 64"
"Census Tract 1103; St. Louis city; Missouri","77","± 50"
"Census Tract 1104; St. Louis city; Missouri","194","± 94"
"Census Tract 1105; St. Louis city; Missouri","113","± 74"
"Census Tract 1111; St. Louis city; Missouri","54","± 46"
"Census Tract 1112; St. Louis city; Missouri","34","± 30"
"Census Tract 1113; St. Louis city; Missouri","104","± 69"
"Census Tract 1121; St. Louis city; Missouri","228","± 166"
"Census Tract 1122; St. Louis city; Missouri","72","± 42"
"Census Tract 1123; St. Louis city; Missouri","101","± 53"
"Census Tract 1124; St. Louis city; Missouri","0","± 12"
"Census Tract 1135; St. Louis city; Missouri","9","± 16"
"Census Tract 1141.01; St. Louis city; Missouri","30","± 47"
"Census Tract 1141.02; St. Louis city; Missouri","0","± 12"
"Census Tract 1142; St. Louis city; Missouri","10","± 20"
"Census Tract 1143; St. Louis city; Missouri","22","± 31"
"Census Tract 1151; St. Louis city; Missouri","214","± 97"
"Census Tract 1152; St. Louis city; Missouri","152","± 113"
"Census Tract 1153; St. Louis city; Missouri","233","± 173"
"Census Tract 1154; St. Louis city; Missouri","99","± 56"
"Census Tract 1155; St. Louis city; Missouri","139","± 106"
"Census Tract 1156; St. Louis city; Missouri","391","± 173"
"Census Tract 1157; St. Louis city; Missouri","145","± 102"
"Census Tract 1161; St. Louis city; Missouri","56","± 71"
"Census Tract 1162; St. Louis city; Missouri","0","± 12"
"Census Tract 1163.01; St. Louis city; Missouri","10","± 16"
"Census Tract 1163.02; St. Louis city; Missouri","79","± 66"
"Census Tract 1164; St. Louis city; Missouri","319","± 207"
"Census Tract 1165; St. Louis city; Missouri","24","± 28"
"Census Tract 1171; St. Louis city; Missouri","11","± 12"
"Census Tract 1172; St. Louis city; Missouri","0","± 12"
"Census Tract 1174; St. Louis city; Missouri","34","± 43"
"Census Tract 1181; St. Louis city; Missouri","30","± 42"
"Census Tract 1186; St. Louis city; Missouri","10","± 16"
"Census Tract 1191.01; St. Louis city; Missouri","161","± 99"
"Census Tract 1191.02; St. Louis city; Missouri","69","± 70"
"Census Tract 1192; St. Louis city; Missouri","18","± 24"
"Census Tract 1193; St. Louis city; Missouri","95","± 76"
"Census Tract 1202; St. Louis city; Missouri","90","± 57"
"Census Tract 1212; St. Louis city; Missouri","146","± 52"
"Census Tract 1231; St. Louis city; Missouri","79","± 64"
"Census Tract 1232; St. Louis city; Missouri","77","± 51"
"Census Tract 1233; St. Louis city; Missouri","41","± 49"
"Census Tract 1241; St. Louis city; Missouri","272","± 108"
"Census Tract 1242; St. Louis city; Missouri","97","± 67"
"Census Tract 1243; St. Louis city; Missouri","85","± 84"
"Census Tract 1246; St. Louis city; Missouri","64","± 47"
"Census Tract 1255; St. Louis city; Missouri","137","± 104"
"Census Tract 1256; St. Louis city; Missouri","104","± 114"
"Census Tract 1257; St. Louis city; Missouri","75","± 62"
"Census Tract 1266; St. Louis city; Missouri","182","± 98"
"Census Tract 1267; St. Louis city; Missouri","30","± 34"
"Census Tract 1268; St. Louis city; Missouri","11","± 18"
"Census Tract 1269; St. Louis city; Missouri","362","± 293"
"Census Tract 1270; St. Louis city; Missouri","26","± 21"
"Census Tract 1271; St. Louis city; Missouri","210","± 85"
"Census Tract 1272; St. Louis city; Missouri","49","± 52"
"Census Tract 1273; St. Louis city; Missouri","391","± 341"
"Census Tract 1274; St. Louis city; Missouri","101","± 84"
