"","Year","fips","Name","County Population","Number in Poverty"
"1",2023,37199,"Yancey County",18786,2984
"2",2023,37197,"Yadkin County",37327,4800
"3",2023,37195,"Wilson County",78000,14670
"4",2023,37193,"Wilkes County",64866,10555
"5",2023,37191,"Wayne County",115031,19717
"6",2023,37189,"Watauga County",47285,8796
"7",2023,37187,"Washington County",10546,2382
"8",2023,37185,"Warren County",18007,3655
"9",2023,37183,"Wake County",1173780,85051
"10",2023,37181,"Vance County",41812,9705
"11",2023,37179,"Union County",252997,21166
"12",2023,37177,"Tyrrell County",3244,693
"13",2023,37175,"Transylvania County",32735,4104
"14",2023,37173,"Swain County",13585,2125
"15",2023,37171,"Surry County",70621,9804
"16",2023,37169,"Stokes County",44862,4721
"17",2023,37167,"Stanly County",64081,7062
"18",2023,37165,"Scotland County",30819,8813
"19",2023,37163,"Sampson County",58682,10830
"20",2023,37161,"Rutherford County",64343,9750
"21",2023,37159,"Rowan County",147555,21559
"22",2023,37157,"Rockingham County",91512,12424
"23",2023,37155,"Robeson County",113652,31430
"24",2023,37153,"Richmond County",41289,9314
"25",2023,37151,"Randolph County",145897,22642
"26",2023,37149,"Polk County",19614,2519
"27",2023,37147,"Pitt County",169954,32930
"28",2023,37145,"Person County",39395,5646
"29",2023,37143,"Perquimans County",13274,2000
"30",2023,37141,"Pender County",67040,7618
"31",2023,37139,"Pasquotank County",38771,6014
"32",2023,37137,"Pamlico County",11767,1767
"33",2023,37135,"Orange County",140235,16388
"34",2023,37133,"Onslow County",188812,23393
"35",2023,37131,"Northampton County",16372,3395
"36",2023,37129,"New Hanover County",232079,28150
"37",2023,37127,"Nash County",94990,13647
"38",2023,37125,"Moore County",105742,11128
"39",2023,37123,"Montgomery County",25421,3955
"40",2023,37121,"Mitchell County",14884,2203
"41",2023,37119,"Mecklenburg County",1145365,116447
"42",2023,37111,"McDowell County",43667,6575
"43",2023,37117,"Martin County",21233,4173
"44",2023,37115,"Madison County",21060,2896
"45",2023,37113,"Macon County",38072,5155
"46",2023,37109,"Lincoln County",94702,10126
"47",2023,37107,"Lenoir County",53751,12425
"48",2023,37105,"Lee County",65992,9690
"49",2023,37103,"Jones County",9309,1777
"50",2023,37101,"Johnston County",239437,25952
"51",2023,37099,"Jackson County",40039,6787
"52",2023,37097,"Iredell County",197698,18197
"53",2023,37095,"Hyde County",3889,905
"54",2023,37093,"Hoke County",53839,9977
"55",2023,37091,"Hertford County",18038,4091
"56",2023,37089,"Henderson County",117960,12460
"57",2023,37087,"Haywood County",62244,6869
"58",2023,37085,"Harnett County",138268,18972
"59",2023,37083,"Halifax County",45974,11743
"60",2023,37081,"Guilford County",524468,77550
"61",2023,37079,"Greene County",17184,3786
"62",2023,37077,"Granville County",58740,6722
"63",2023,37075,"Graham County",7959,1344
"64",2023,37073,"Gates County",10192,1431
"65",2023,37071,"Gaston County",233237,31513
"66",2023,37069,"Franklin County",75593,8531
"67",2023,37067,"Forsyth County",380940,56249
"68",2023,37065,"Edgecombe County",48296,10936
"69",2023,37063,"Durham County",320369,33994
"70",2023,37061,"Duplin County",49042,9688
"71",2023,37059,"Davie County",44110,4292
"72",2023,37057,"Davidson County",172576,24163
"73",2023,37055,"Dare County",37790,3354
"74",2023,37053,"Currituck County",31441,2442
"75",2023,37051,"Cumberland County",320926,49047
"76",2023,37049,"Craven County",98933,15338
"77",2023,37047,"Columbus County",47546,9573
"78",2023,37045,"Cleveland County",99332,17051
"79",2023,37043,"Clay County",11757,1422
"80",2023,37041,"Chowan County",13618,2063
"81",2023,37039,"Cherokee County",29645,4327
"82",2023,37037,"Chatham County",80762,6776
"83",2023,37035,"Catawba County",161891,19276
"84",2023,37033,"Caswell County",21538,3564
"85",2023,37031,"Carteret County",68717,7295
"86",2023,37029,"Camden County",11116,892
"87",2023,37027,"Caldwell County",79468,10843
"88",2023,37025,"Cabarrus County",237670,21730
"89",2023,37023,"Burke County",85718,13667
"90",2023,37021,"Buncombe County",269143,34611
"91",2023,37019,"Brunswick County",158786,16424
"92",2023,37017,"Bladen County",29132,5619
"93",2023,37015,"Bertie County",15571,3790
"94",2023,37013,"Beaufort County",44161,8530
"95",2023,37011,"Avery County",15549,2469
"96",2023,37009,"Ashe County",26674,4088
"97",2023,37007,"Anson County",20183,4859
"98",2023,37005,"Alleghany County",11212,1823
"99",2023,37003,"Alexander County",35194,4350
"100",2023,37001,"Alamance County",173426,21677
