"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"1989","37199","Yancey County","--","2,636","2,112 to 3,160","17.0","13.6 to 20.4"
"1993","37199","Yancey County","--","2,807","2,247 to 3,367","17.4","13.9 to 20.9"
"1995","37199","Yancey County","--","2,757","2,216 to 3,298","16.8","13.5 to 20.1"
"1996","37199","Yancey County","--","--","-- to --","--","-- to --"
"1997","37199","Yancey County","--","2,607","2,048 to 3,166","15.6","12.2 to 18.9"
"1998","37199","Yancey County","16,971","2,820","2,226 to 3,413","16.6","13.1 to 20.1"
"1999","37199","Yancey County","17,807","2,660","2,055 to 3,265","14.9","11.5 to 18.3"
"2000","37199","Yancey County","17,901","2,591","2,042 to 3,139","14.5","11.4 to 17.5"
"2001","37199","Yancey County","17,921","2,657","2,078 to 3,236","14.8","11.6 to 18.1"
"2002","37199","Yancey County","18,083","2,883","2,230 to 3,535","15.9","12.3 to 19.6"
"2003","37199","Yancey County","18,135","2,825","2,176 to 3,473","15.6","12.0 to 19.2"
"2004","37199","Yancey County","18,195","2,988","2,293 to 3,684","16.4","12.6 to 20.2"
"2005","37199","Yancey County","18,017","3,314","2,657 to 3,971","18.4","14.7 to 22.0"
"2006","37199","Yancey County","18,267","3,493","2,772 to 4,214","19.1","15.2 to 23.1"
"2007","37199","Yancey County","18,307","2,841","2,222 to 3,460","15.5","12.1 to 18.9"
"2008","37199","Yancey County","18,360","3,387","2,719 to 4,055","18.4","14.8 to 22.1"
"2009","37199","Yancey County","18,360","3,260","2,474 to 4,047","17.8","13.5 to 22.0"
"2010","37199","Yancey County","17,617","3,585","2,882 to 4,288","20.3","16.3 to 24.3"
"2011","37199","Yancey County","17,535","3,566","2,818 to 4,314","20.3","16.0 to 24.6"
"2012","37199","Yancey County","17,455","3,551","2,883 to 4,219","20.3","16.5 to 24.1"
"2013","37199","Yancey County","17,377","3,701","3,017 to 4,385","21.3","17.4 to 25.2"
"2014","37199","Yancey County","17,431","3,590","2,910 to 4,270","20.6","16.7 to 24.5"
"2015","37199","Yancey County","17,411","3,359","2,711 to 4,007","19.3","15.6 to 23.0"
"2016","37199","Yancey County","17,496","3,350","2,756 to 3,944","19.1","15.7 to 22.5"
"2017","37199","Yancey County","17,578","2,903","2,255 to 3,551","16.5","12.8 to 20.2"
"2018","37199","Yancey County","17,726","3,153","2,574 to 3,732","17.8","14.5 to 21.1"
"2019","37199","Yancey County","17,897","2,537","1,926 to 3,148","14.2","10.8 to 17.6"
"2020","37199","Yancey County","17,920","2,677","2,073 to 3,281","14.9","11.5 to 18.3"
"2021","37199","Yancey County","18,612","3,230","2,599 to 3,861","17.4","14.0 to 20.8"
"2022","37199","Yancey County","18,663","2,766","2,122 to 3,410","14.8","11.3 to 18.3"
"2023","37199","Yancey County","18,786","2,984","2,351 to 3,617","15.9","12.5 to 19.3"
"1989","37197","Yadkin County","--","3,142","2,530 to 3,753","10.3","8.3 to 12.3"
"1993","37197","Yadkin County","--","3,721","2,984 to 4,458","11.3","9.1 to 13.6"
"1995","37197","Yadkin County","--","3,619","2,910 to 4,327","10.5","8.5 to 12.6"
"1996","37197","Yadkin County","--","--","-- to --","--","-- to --"
"1997","37197","Yadkin County","--","3,555","2,798 to 4,312","10.1","8.0 to 12.3"
"1998","37197","Yadkin County","35,436","3,868","3,061 to 4,675","10.9","8.6 to 13.2"
"1999","37197","Yadkin County","36,295","3,681","2,847 to 4,515","10.1","7.8 to 12.4"
"2000","37197","Yadkin County","36,645","3,574","2,822 to 4,326","9.8","7.7 to 11.8"
"2001","37197","Yadkin County","37,081","3,806","2,980 to 4,633","10.3","8.0 to 12.5"
"2002","37197","Yadkin County","37,343","3,903","3,023 to 4,784","10.5","8.1 to 12.8"
"2003","37197","Yadkin County","37,129","4,197","3,243 to 5,152","11.3","8.7 to 13.9"
"2004","37197","Yadkin County","37,527","4,367","3,370 to 5,364","11.6","9.0 to 14.3"
"2005","37197","Yadkin County","37,068","4,557","3,685 to 5,429","12.3","9.9 to 14.6"
"2006","37197","Yadkin County","37,618","4,476","3,587 to 5,364","11.9","9.5 to 14.3"
"2007","37197","Yadkin County","37,374","5,787","4,832 to 6,742","15.5","12.9 to 18.0"
"2008","37197","Yadkin County","37,533","5,168","4,316 to 6,020","13.8","11.5 to 16.0"
"2009","37197","Yadkin County","37,294","4,993","3,928 to 6,058","13.4","10.5 to 16.2"
"2010","37197","Yadkin County","38,046","5,742","4,676 to 6,808","15.1","12.3 to 17.9"
"2011","37197","Yadkin County","37,930","6,526","5,478 to 7,574","17.2","14.4 to 20.0"
"2012","37197","Yadkin County","37,711","7,262","6,355 to 8,169","19.3","16.9 to 21.7"
"2013","37197","Yadkin County","37,645","7,119","6,115 to 8,123","18.9","16.2 to 21.6"
"2014","37197","Yadkin County","37,430","6,430","5,358 to 7,502","17.2","14.3 to 20.1"
"2015","37197","Yadkin County","37,217","6,050","5,040 to 7,060","16.3","13.6 to 19.0"
"2016","37197","Yadkin County","37,151","5,202","4,166 to 6,238","14.0","11.2 to 16.8"
"2017","37197","Yadkin County","37,437","5,022","4,065 to 5,979","13.4","10.8 to 16.0"
"2018","37197","Yadkin County","37,162","4,829","3,886 to 5,772","13.0","10.5 to 15.5"
"2019","37197","Yadkin County","37,307","5,189","4,263 to 6,115","13.9","11.4 to 16.4"
"2020","37197","Yadkin County","37,250","4,509","3,578 to 5,440","12.1","9.6 to 14.6"
"2021","37197","Yadkin County","36,916","4,695","3,780 to 5,610","12.7","10.2 to 15.2"
"2022","37197","Yadkin County","37,027","4,478","3,448 to 5,508","12.1","9.3 to 14.9"
"2023","37197","Yadkin County","37,327","4,800","3,842 to 5,758","12.9","10.3 to 15.5"
